자치구별(2),경도,위도,교통사고수 (건),사업체수 (개),주점수,음주사고수 (건),인구밀도 (명/㎢),주차 면수 (면수),차량통행속도,휘발유 사용량,경유 사용량,LPG 사용량,도시공원수 (개소),도시공원면적 (천㎡)
서대문구,126.9356676,37.5828688,928,28769,3918,44,18322,120717,24,235,144,272,82,4843.7
마포구,126.9087792,37.5622933,1272,58694,8285,88,16011,182255,24.9,135,87,72,100,3252.4
양천구,126.8561354,37.5270363,1344,37183,3232,79,26301,170748,25.2,437,358,480,105,2627.1
강서구,126.8226558,37.5657621,1575,58788,6314,120,14140,297275,23.6,614,601,441,163,3427.7
구로구,126.8581205,37.4956768,1325,53547,4266,119,21496,188343,23.3,272,293,484,68,3319.7
금천구,126.9001525,37.4600745,810,47354,3213,90,19035,131017,23.6,231,237,98,47,2610.4
영등포구,126.9139239,37.5206414,2208,74060,6865,129,16595,184321,23.7,540,433,431,75,664.5
동작구,126.9443079,37.4965073,1307,28505,3293,86,24555,136072,26.8,222,128,91,70,4092.5
관악구,126.9438067,37.4654,1444,38639,5071,91,17241,153117,25.5,219,156,170,101,12424.9
서초구,127.0378001,37.4769532,2250,75858,6174,165,9132,262735,26.8,910,600,159,155,14265.7
강남구,127.1144708,37.5048509,3752,115054,12454,343,13773,398603,25,650,437,1113,149,6479.1
송파구,127.0664088,37.4959815,2595,76412,7384,148,19896,321938,24.1,977,2838,220,160,2097.1
강동구,127.1464401,37.549233,1268,40978,4016,63,18869,203140,23,199,155,307,116,2820.2
종로구,126.986175,37.5991001,778,48361,7353,45,6431,96350,22.6,66,83,41,69,6282.5
중구,126.9941953,37.5579449,854,70308,6626,43,13231,108561,20.7,76,46,251,61,3090.9
용산구,126.9809422,37.5311061,1014,29680,4894,72,10852,110649,26.1,119,106,16,69,759.1
성동구,127.0409626,37.5506718,1057,41665,3876,87,17359,134107,23.8,277,306,267,65,1231
광진구,127.085765,37.5481447,922,33706,4446,72,20666,137040,23.8,383,296,160,50,2993.9
동대문구,127.0506879,37.5837941,1390,42813,4403,42,24762,148063,22.9,269,263,309,76,974.9
중랑구,127.093966,37.5953753,1373,39310,4006,65,21188,133919,21.9,254,280,240,72,5050.3
성북구,127.0232435,37.6069889,1285,34712,3519,55,17909,155093,23.1,509,385,145,79,4574.6
강북구,127.0147136,37.6469903,1017,26385,3078,54,12820,93845,20.8,203,181,236,64,2370.3
도봉구,127.0317954,37.6658587,591,25391,2445,37,15465,111916,20.8,298,252,158,52,1250.2
노원구,127.0771199,37.6552597,1413,37909,3751,76,14530,183901,22.7,246,178,403,138,14407.8
은평구,126.9227001,37.6176107,867,36509,4050,53,16061,166662,20.9,283,217,205,103,6600
서대문구,126.9356676,37.5828688,930,28522,3910,44,17908,125844,23.2,257,144,269,83,4860.4
마포구,126.9087792,37.5622933,1102,56782,8441,100,15878,182861,23.7,166,99,74,101,3257.9
양천구,126.8561354,37.5270363,1305,37929,3274,76,25882,168382,23.2,460,345,468,105,2627.1
강서구,126.8226558,37.5657621,1501,58806,6329,119,13986,288042,22.7,596,520,429,161,3433.9
구로구,126.8581205,37.4956768,1350,52791,4339,102,20933,190319,22.3,271,281,482,68,3319.7
금천구,126.9001525,37.4600745,827,47964,3184,66,18808,133132,22.2,213,208,96,47,2610.4
영등포구,126.9139239,37.5206414,2178,74562,7123,115,16331,183911,22.9,576,453,419,75,664.5
동작구,126.9443079,37.4965073,1148,27915,3280,54,24113,139766,25.3,222,131,90,70,4091.1
관악구,126.9438067,37.4654,1419,37915,5073,73,16891,153306,24.6,217,150,166,101,12424.4
서초구,127.0378001,37.4769532,2118,71958,5972,123,8858,264800,24.9,924,588,155,154,14267.7
강남구,127.1144708,37.5048509,3820,110007,12635,281,13616,402283,23.7,658,394,928,151,6501.7
송파구,127.0664088,37.4959815,2607,74531,7511,139,19599,353631,22.9,953,1842,217,161,2097.1
강동구,127.1464401,37.549233,1047,41660,4373,66,18970,188133,22.4,212,152,298,120,2865.4
