자치구별(2),교통사고수 (건),사업체수 (개),주점수,음주사고수 (건),인구밀도 (명/㎢),주차 면수 (면수),차량통행속도,휘발유 사용량,경유 사용량,LPG 사용량,도시공원수 (개소),도시공원면적 (천㎡)
성북구,1618,24560,4064,107,,150343,,,,,,
강북구,1227,18742,3946,88,,89323,,,,,,
도봉구,949,18686,2445,48,,111205,,,,,,
노원구,1535,26271,3577,111,,175675,,,,,,
은평구,1121,24615,4383,82,,157635,,,,,,
서대문구,1135,19540,4165,75,,115378,,,,,,
마포구,1768,36191,7774,178,,166655,,,,,,
양천구,1493,26108,3305,94,,161764,,,,,,
강서구,1691,34662,4830,128,,245727,,,,,,
구로구,1511,38033,4449,119,,156050,,,,,,
금천구,799,30987,2894,73,,116984,,,,,,
영등포구,2403,43678,6972,145,,168428,,,,,,
동작구,1471,19747,3380,80,,119103,,,,,,
관악구,1408,26377,4774,86,,146646,,,,,,
서초구,2313,46404,6777,150,,279729,,,,,,
강남구,3828,72281,12032,406,,385848,,,,,,
송파구,2598,45555,6697,199,,292077,,,,,,
강동구,1426,30268,3612,97,,169764,,,,,,
